date,AQI
05-01-16,102.3333333
12-01-16,116.6666667
16-01-16,112.6666667
22-01-16,116.6666667
29-01-16,110
02-02-16,111.3333333
05-02-16,118.6666667
09-02-16,112.3333333
12-02-16,110
16-02-16,102.6666667
19-02-16,108.6666667
24-02-16,102.6666667
26-02-16,109
02-03-16,103.3333333
05-03-16,111
09-03-16,109.3333333
12-03-16,107.6666667
19-03-16,106.3333333
24-03-16,108.6666667
26-03-16,116.6666667
03-04-16,105.3333333
07-04-16,105
10-04-16,106
14-04-16,111.6666667
17-04-16,114.6666667
21-04-16,107.6666667
24-04-16,108.6666667
28-04-16,112
05-05-16,103.3333333
07-05-16,113.3333333
12-05-16,109.6666667
16-05-16,112.6666667
19-05-16,105.6666667
22-05-16,104.3333333
26-05-16,116.6666667
29-05-16,107
02-06-16,118
04-06-16,110.6666667
06-06-16,114.6666667
09-06-16,120.3333333
12-06-16,109.6666667
16-06-16,107
27-06-16,109
08-07-16,103.3333333
11-07-16,109.3333333
16-07-16,111.3333333
04-08-16,106
11-08-16,112.3333333
14-08-16,101.6666667
18-08-16,102.6666667
01-09-16,101.6666667
11-09-16,103
16-09-16,104.3333333
18-09-16,105.3333333
22-09-16,104
09-10-16,110.3333333
13-10-16,110
16-10-16,105.3333333
20-10-16,135.6666667
23-10-16,109.3333333
27-10-16,111
30-10-16,110.6666667
01-12-16,110
04-12-16,112.3333333
08-12-16,105.3333333
11-12-16,116.3333333
16-12-16,116
18-12-16,109.6666667
22-12-16,117.6666667
26-12-16,110
29-12-16,106.3333333
03-01-16,101.3333333
10-01-16,112.6666667
14-01-16,118.3333333
17-01-16,116.6666667
24-01-16,106.6666667
28-01-16,119.3333333
31-01-16,118.6666667
04-02-16,116
07-02-16,113.3333333
11-02-16,109
14-02-16,116.6666667
18-02-16,112.6666667
21-02-16,105.6666667
28-02-16,103.6666667
04-03-16,107.6666667
07-03-16,102
14-03-16,102.6666667
21-03-16,110
25-03-16,103.6666667
28-03-16,103.6666667
01-04-16,103.3333333
04-04-16,101.6666667
11-04-16,104
16-04-16,108.3333333
18-04-16,131
22-04-16,108
25-04-16,103.3333333
02-05-16,106.6666667
20-05-16,110.3333333
23-05-16,111
10-06-16,112
13-06-16,110.3333333
28-07-16,107
08-08-16,103.3333333
13-08-16,110.6666667
22-08-16,105.6666667
29-08-16,103.6666667
12-09-16,101.6666667
23-09-16,102.6666667
07-10-16,105.3333333
14-10-16,106.6666667
17-10-16,105.6666667
21-10-16,108
28-10-16,107
31-10-16,110.6666667
02-12-16,111.3333333
05-12-16,102
09-12-16,107.6666667
12-12-16,108
16-12-16,116
19-12-16,105.6666667
25-12-16,111
30-12-16,108
02-01-16,105.6666667
09-01-16,103.3333333
06-01-16,118.6666667
09-01-16,106.3333333
16-01-16,117.6666667
20-01-16,123.3333333
23-01-16,111
27-01-16,106.6666667
30-01-16,119.6666667
03-02-16,114.3333333
06-02-16,114
10-02-16,114
13-02-16,118
17-02-16,120.6666667
20-02-16,124.3333333
17-03-16,113.6666667
20-03-16,116.3333333
24-03-16,119.6666667
27-03-16,122
31-03-16,116
03-04-16,120.6666667
07-04-16,119.3333333
10-04-16,118.6666667
14-04-16,109
17-04-16,114.3333333
21-04-16,116.3333333
24-04-16,113
28-04-16,104.6666667
01-05-16,117.3333333
05-05-16,116.3333333
08-05-16,120.3333333
12-05-16,117.6666667
16-05-16,123
19-05-16,121.6666667
22-05-16,120
26-05-16,118.3333333
29-05-16,116
02-06-16,116.6666667
05-06-16,117.6666667
09-06-16,124
12-06-16,105.3333333
16-06-16,111.3333333
19-06-16,113
23-06-16,108.6666667
26-06-16,107.3333333
30-06-16,106.3333333
03-07-16,109.3333333
07-07-16,101.6666667
10-07-16,106
14-07-16,111.6666667
17-07-16,105
07-08-16,108
14-08-16,108
21-08-16,107.6666667
25-08-16,109
28-08-16,114.3333333
01-09-16,108.3333333
04-09-16,120
08-09-16,117.3333333
11-09-16,122.3333333
16-09-16,113.6666667
22-09-16,116.6666667
25-09-16,119
29-09-16,122.3333333
06-10-16,123
09-10-16,127.3333333
13-10-16,130.3333333
16-10-16,120
20-10-16,118
23-10-16,121
27-10-16,116
30-10-16,111
01-12-16,121.3333333
04-12-16,126
08-12-16,118.3333333
11-12-16,112.3333333
16-12-16,113
18-12-16,120.3333333
22-12-16,119.3333333
25-12-16,119.6666667
29-12-16,124.6666667
03-01-16,105.6666667
07-01-16,113
10-01-16,109
17-01-16,101.6666667
21-01-16,106.6666667
24-01-16,113.6666667
28-01-16,102.3333333
31-01-16,104.6666667
04-02-16,111.3333333
07-02-16,105
11-02-16,104.6666667
14-02-16,110.6666667
18-02-16,107.6666667
21-02-16,109
25-02-16,104.3333333
04-03-16,103.3333333
07-03-16,107.6666667
11-03-16,102
18-03-16,102.6666667
31-03-16,116
08-04-16,104
29-04-16,104
16-05-16,101.3333333
20-05-16,103
23-05-16,102
02-09-16,104.6666667
05-09-16,106.3333333
09-09-16,107
12-09-16,111
16-09-16,104.3333333
23-09-16,107.3333333
26-09-16,107.3333333
30-09-16,110
03-10-16,106
07-10-16,108
10-10-16,103
14-10-16,107
17-10-16,106.6666667
21-10-16,103.6666667
24-10-16,109
28-10-16,101.3333333
31-10-16,105
02-12-16,103
05-12-16,102
09-12-16,107.3333333
12-12-16,102
26-12-16,112
30-12-16,107
05-01-16,108.6666667
08-01-16,111.6666667
19-01-16,106.3333333
22-01-16,109
29-01-16,109
02-02-16,110.6666667
05-02-16,110
09-02-16,108.6666667
12-02-16,112.6666667
16-02-16,109.6666667
19-02-16,112
23-02-16,110.6666667
26-02-16,110.3333333
05-03-16,103
09-03-16,113.6666667
19-03-16,109.6666667
23-03-16,105.6666667
26-03-16,106.3333333
02-04-16,104.3333333
